therapy,timepoint,response,CD8_stage,n_patients,mean_ZFP36,sd_ZFP36,mean_ZFP36L1,sd_ZFP36L1,mean_ZFP36L2,sd_ZFP36L2,mean_ZC3H12A,sd_ZC3H12A,mean_RC3H1,sd_RC3H1,mean_RC3H2,sd_RC3H2,mean_PCBP1,sd_PCBP1,mean_ELAVL1,sd_ELAVL1,mean_HNRNPLL,sd_HNRNPLL,mean_TIA1,sd_TIA1
anti-CTLA4+PD1,Pre,Responder,Other_CD8,4,1.9908696711063385,0.31029020949988784,1.641520380973816,0.1728639205576571,1.4042131006717682,0.25826101450692995,0.660107433795929,0.2793855984828831,1.0409572571516037,0.1876348883620669,0.39247336238622665,0.2255983919736211,1.300209879875183,0.3079639792850668,0.127504238858819,0.07049828344791266,0.8644428253173828,0.4106905465277629,0.6035571917891502,0.19182596050344447
anti-CTLA4+PD1,Pre,Responder,Stem-like,4,1.7144644856452942,0.8646033784863019,1.9111379981040955,0.4895261543682826,1.7119188010692596,0.44445447278227124,0.40964026749134064,0.2384479547265368,1.3413257151842117,0.4245999812440422,0.15159277617931366,0.3031855523586273,0.7574853748083115,0.5517468431971972,0.05062699317932129,0.10125398635864258,0.0,0.0,0.4346482828259468,0.31982290806235114
anti-CTLA4+PD1,Pre,Responder,T-CM,3,1.493747075398763,1.2979518689047471,0.9290653665860494,0.9128988412747694,1.4179421265920003,0.6536541666989482,0.36351168155670166,0.6296207016010057,0.8450842499732971,0.19144792337546807,0.24272843698660532,0.28236396983031725,1.4049592018127441,0.629076038400924,0.0,0.0,0.17892501751581827,0.3099072210825486,0.796502689520518,0.37571350621845134
anti-CTLA4+PD1,Pre,Responder,T-EFF/CTL,3,1.6916313370068867,0.828148007061022,1.8905561367670696,0.3610415589867357,1.314961314201355,0.2122949436820585,0.4844450155893962,0.5520947155974814,1.1932180722554524,0.6171516899470437,0.2892666260401408,0.26435892744564154,0.9896307984987894,0.46512485498091893,0.14015237987041473,0.19981831812621617,1.2562106053034465,0.22970893823827254,0.5258535941441854,0.4613627920620287
anti-CTLA4+PD1,Pre,Responder,T-EM/TEMRA,3,1.2223506768544514,1.0808873735000477,1.1048910021781921,1.2089593351865655,0.9495711326599121,0.8257587308314124,0.1051035722096761,0.18204472712414332,0.9002145926157633,0.7812799367798208,0.30409423510233563,0.5267066654860404,1.0203549067179363,0.9933900088783084,0.30950536330540973,0.5360790144600337,1.4554308652877808,0.6828159495234163,0.5757163365681967,0.5113394908289421
anti-CTLA4+PD1,Pre,Responder,T-RM,3,2.3657750288645425,0.05606716016071654,2.0734227101008096,0.2213517389669412,1.9625231424967449,0.3695672857906816,0.8328892985979716,0.2119532168775459,1.195677677790324,0.7545063130016866,0.6562454799811045,0.33208703367400044,1.1376409729321797,0.4555492872787565,0.047808438539505005,0.08280664458095668,0.5568244854609171,0.5302609258837322,0.23693506916364035,0.2827901060557902
anti-CTLA4+PD1,Pre,Responder,TRM-CD69only,3,2.2927778561909995,0.15069343334620147,1.754867712656657,0.315195661615797,1.440401593844096,0.5621644390144594,0.8620230356852213,0.40714030540653545,0.6552716294924418,0.22379672172741766,0.24751903613408408,0.2364264094761963,0.9205804268519083,0.27522670661033194,0.11822915077209473,0.05091580311863418,0.690341075261434,0.20717424139122687,0.6606183449427286,0.22404823975946675
anti-PD1,Post,Non-responder,Non-CD8,16,1.9765476360917091,0.22471819182899416,1.7334682419896126,0.14017111921538408,1.3459189012646675,0.315378872270644,0.6107614040374756,0.24136401206542618,0.9644172452390194,0.16159032952260813,0.41343455016613007,0.1106542538093366,1.1386542804539204,0.16842453805662194,0.24114780221134424,0.10551879556249016,0.8124613333493471,0.24794652401558276,0.6607553511857986,0.17777922536272717
anti-PD1,Post,Non-responder,Other_CD8,16,1.923111453652382,0.2647413435354518,1.8910883888602257,0.17471220818975405,1.4200684912502766,0.40567463346176835,0.5086523061618209,0.28533594434032766,1.1049248240888119,0.23248328669601911,0.4065744453109801,0.25061901961770344,1.292718555778265,0.30583535759316927,0.28893150482326746,0.1880613305379948,1.124920591711998,0.3782741438651536,0.735183971002698,0.2730902829614392
anti-PD1,Post,Non-responder,Stem-like,6,2.0035755038261414,0.45381339821504507,2.1850869258244834,0.3840685414369356,1.6120085716247559,0.48595339944770327,1.0283698663115501,1.0483559067935688,1.2427594363689423,0.777861090594059,0.20625021557013193,0.38400143108355955,1.5826550722122192,0.8272263390502401,0.2411972482999166,0.3775185358734306,0.712753693262736,0.8912557617896844,1.0228758056958516,0.9724765817930814
